Profile_scaled_periphery_data,Prh_Sc_O_SADR010324.jpg,Prh_Sc_O_SADR010493.jpg,Prh_Sc_O_SADR010555.jpg,Prh_Sc_O_SADR010557.jpg,Prh_Sc_O_SADR010560.jpg,Prh_Sc_O_SADR010568.jpg,Prh_Sc_O_SADR010571.jpg,Prh_Sc_O_SADR010595.jpg,Prh_Sc_O_SADR010597.jpg,Prh_Sc_O_SADR010600.jpg,Prh_Sc_O_SADR010606.jpg,Prh_Sc_O_SADR010608.jpg,Prh_Sc_O_SADR010688.jpg,Prh_Sc_O_SADR010771.jpg,Prh_Sc_O_SADR010891.jpg,Prh_Sc_O_SADR010901.jpg,Prh_Sc_O_SADR010903.jpg,Prh_Sc_O_SADR010907.jpg,Prh_Sc_O_SADR010911.jpg,Prh_Sc_O_SADR010985.jpg,Prh_Sc_O_SADR010987.jpg,Prh_Sc_O_SADR010988.jpg,Prh_Sc_O_SADR010990.jpg,Prh_Sc_O_SADR010991.jpg,Prh_Sc_O_SADR010993.jpg,Prh_Sc_O_SADR011004.jpg,Prh_Sc_O_SADR011075.jpg,Prh_Sc_O_SADR011076.jpg,Prh_Sc_O_SADR011077.jpg,Prh_Sc_O_SADR011090.jpg,Prh_Sc_O_SADR011104.jpg,Prh_Sc_O_SADR011135.jpg,Prh_Sc_O_SADR011296.jpg,Prh_Sc_O_SADR011508.jpg,Prh_Sc_O_SADR011815.jpg,Prh_Sc_O_SADR011829.jpg,Prh_Sc_O_SADR011830.jpg,Prh_Sc_O_SADR011831.jpg,Prh_Sc_O_SADR011834.jpg,Prh_Sc_O_SADR011835.jpg,Prh_Sc_O_SADR020634.jpg,Prh_Sc_O_SADR020702.jpg,Prh_Sc_O_SADR020704.jpg,Prh_Sc_O_SADR020738.jpg,Prh_Sc_O_SADR020749.jpg,Prh_Sc_O_SADR020865.jpg,Prh_Sc_O_SADR020881.jpg,Prh_Sc_O_SADR020923.jpg,Prh_Sc_O_SADR020945.jpg,Prh_Sc_O_SADR020952.jpg,Prh_Sc_O_SADR020953.jpg,Prh_Sc_O_SADR020954.jpg,Prh_Sc_O_SADR020963.jpg,Prh_Sc_O_SADR020966.jpg,Prh_Sc_O_SADR020971.jpg,Prh_Sc_O_SADR020974.jpg,Prh_Sc_O_SADR020976.jpg,Prh_Sc_O_SADR020994.jpg,Prh_Sc_O_SADR021073.jpg,Prh_Sc_O_SADR021088.jpg,Prh_Sc_O_SADR021090.jpg,Prh_Sc_O_SADR021098.jpg,Prh_Sc_O_SADR021137.jpg,Prh_Sc_O_SADR021195.jpg,Prh_Sc_O_SADR021208.jpg,Prh_Sc_O_SADR021282.jpg,Prh_Sc_O_SADR021398.jpg,Prh_Sc_O_SADR021423.jpg,Prh_Sc_O_SADR021441.jpg,Prh_Sc_O_SADR021525.jpg,Prh_Sc_O_SADR021628.jpg,Prh_Sc_O_SADR021655.jpg,Prh_Sc_O_SADR021656.jpg,Prh_Sc_O_SADR021658.jpg,Prh_Sc_O_SADR021663.jpg,Prh_Sc_O_SADR021664.jpg,Prh_Sc_O_SADR021666.jpg,Prh_Sc_O_SADR021670.jpg,Prh_Sc_O_SADR021680.jpg,Prh_Sc_O_SADR021802.jpg,Prh_Sc_O_SADR021834.jpg,Prh_Sc_O_SADR021843.jpg,Prh_Sc_O_SADR021848.jpg
95,8,9,10,9,9,10,10,7,10,10,10,10,10,11,10,8,8,10,10,8,7,7,10,10,8,9,7,10,9,8,10,7,9,9,7,10,10,9,10,10,10,10,9,10,11,10,10,11,10,10,10,10,11,8,10,11,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,9,10,9,9,9,10,10,8,8,9,8
96,8,9,11,9,9,10,11,7,11,11,10,11,11,12,11,9,8,11,11,10,7,8,10,10,8,9,7,11,9,8,11,8,9,10,8,11,11,9,11,11,11,11,10,10,12,11,11,11,11,11,11,11,12,8,11,12,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,10,10,10,10,9,11,11,9,8,10,9
97,9,9,12,10,11,10,12,7,12,12,10,12,12,13,11,9,8,12,12,10,9,8,10,10,10,11,9,11,9,9,11,9,9,14,10,12,12,9,12,12,12,11,11,11,13,12,12,12,12,12,12,12,13,9,12,13,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,11,11,11,11,9,11,11,9,10,11,9
98,9,9,12,11,11,10,13,7,13,13,11,13,13,14,11,9,9,13,13,11,9,8,10,10,11,11,10,11,9,10,11,10,9,14,10,12,13,10,13,13,13,11,12,12,14,13,13,14,13,13,13,13,14,10,13,14,13,13,13,13,13,13,13,11,12,13,13,12,12,13,12,13,11,12,11,11,10,11,12,9,10,11,9
99,9,10,12,12,12,12,14,8,14,14,12,14,14,15,11,10,9,14,14,16,9,8,12,12,11,12,11,11,10,13,12,11,10,15,11,12,14,11,14,14,14,11,13,13,15,14,14,14,14,13,14,14,15,11,14,15,14,14,14,14,13,13,14,11,12,14,14,12,12,14,12,14,11,13,11,12,11,13,13,10,10,11,9
100,10,12,13,16,13,13,15,8,14,15,13,15,15,16,11,11,10,15,14,16,9,9,13,13,11,13,12,11,11,14,13,12,12,19,13,12,15,12,15,15,15,13,14,14,16,15,15,14,15,13,15,15,16,12,15,16,15,15,15,15,13,13,15,11,13,15,15,13,14,14,14,14,12,14,13,13,12,13,13,11,10,11,9
101,10,13,15,16,13,14,16,8,14,15,14,16,16,17,13,12,11,15,14,16,9,10,14,14,11,14,12,12,12,15,14,13,13,20,13,13,15,13,16,16,16,14,14,15,17,16,16,14,16,14,16,15,17,12,16,17,16,15,16,15,13,13,16,13,15,16,16,14,15,15,15,14,13,15,14,13,13,15,15,11,12,13,10
102,10,13,15,18,14,14,17,8,14,15,15,17,17,17,14,12,11,15,14,16,9,11,15,14,11,16,14,13,13,15,15,13,13,21,14,14,15,14,17,16,17,14,14,15,18,17,17,14,17,15,17,15,17,12,17,18,17,15,17,15,14,14,17,14,15,17,17,15,15,16,15,15,14,16,15,13,14,15,15,11,12,14,11
103,10,14,16,19,14,16,18,8,15,15,16,17,17,17,15,12,11,15,14,16,9,11,15,16,11,16,15,15,14,15,16,13,14,22,14,15,15,15,17,16,18,16,14,15,19,18,18,14,18,16,18,15,17,13,18,19,18,16,18,16,15,16,18,14,16,18,18,16,17,17,17,16,15,17,15,14,15,16,15,11,12,14,11
104,10,16,17,20,14,17,19,8,16,16,17,17,17,17,15,12,11,16,15,17,9,11,17,17,12,16,16,16,15,16,21,15,16,23,14,16,16,16,17,17,18,17,15,16,20,19,19,14,19,17,19,17,17,14,19,19,19,17,19,18,16,17,19,16,18,18,19,17,17,18,17,18,16,17,15,15,16,17,16,11,12,14,11
105,10,17,18,21,14,17,20,8,18,18,18,17,17,19,16,12,12,17,17,19,9,11,18,17,13,16,16,17,15,17,21,15,17,24,14,17,18,17,18,18,18,17,16,17,21,19,20,14,20,17,20,19,18,14,19,19,19,18,20,18,17,17,19,17,18,18,20,18,17,19,19,18,17,17,16,15,16,18,17,12,12,14,12
106,10,18,19,22,14,19,21,8,19,19,19,18,17,20,18,12,12,18,18,19,9,12,18,19,13,16,17,17,17,17,22,15,18,24,15,18,19,18,19,19,18,17,17,17,21,19,21,14,21,17,21,19,21,14,20,20,19,19,21,19,18,18,19,17,20,18,21,19,17,19,20,20,18,17,17,15,16,20,17,12,12,14,13
107,10,18,19,23,14,20,22,8,19,19,20,19,18,20,19,14,12,19,19,19,9,13,18,20,13,17,19,18,18,17,24,15,18,24,16,19,19,19,20,23,19,17,18,17,21,19,21,14,22,17,22,19,21,14,21,21,20,20,22,20,19,20,20,17,20,19,22,20,17,19,20,20,19,17,17,15,18,20,17,12,12,14,13
108,10,18,19,24,14,21,23,8,20,20,21,20,20,21,20,14,12,20,20,19,9,14,18,20,13,18,20,19,19,19,24,15,18,24,17,20,20,20,21,24,21,17,19,18,22,19,21,14,23,17,23,19,21,14,22,22,21,21,23,21,20,21,21,17,21,21,23,21,17,19,22,22,19,18,17,15,18,22,18,12,13,14,13
109,10,18,19,24,14,21,24,8,21,22,22,22,21,23,20,14,12,25,20,19,9,14,18,20,13,18,20,21,20,19,25,15,18,25,17,21,22,21,22,25,22,18,19,19,23,20,22,14,24,20,24,19,21,14,23,23,22,22,24,22,21,21,22,17,23,22,24,22,17,19,22,22,19,19,17,15,18,22,19,12,14,14,13
110,10,18,20,24,14,24,25,8,23,23,23,22,22,24,22,14,14,26,22,19,9,14,19,20,13,18,20,22,20,19,26,15,18,26,17,22,23,22,23,26,22,20,19,19,24,21,24,14,25,20,25,19,21,14,24,24,23,23,25,23,21,21,23,18,23,22,25,22,19,19,22,22,20,19,17,15,18,22,19,13,14,14,14
111,10,18,21,24,14,24,26,8,24,23,24,23,22,24,23,14,14,26,23,19,9,14,19,20,13,18,20,23,20,19,27,15,18,26,17,23,23,23,24,27,24,20,19,19,25,22,24,14,26,20,26,19,21,14,25,25,24,24,26,25,21,21,24,20,24,24,26,22,20,21,22,22,21,19,17,15,18,22,19,14,14,14,14
112,10,19,22,26,14,24,26,8,24,24,24,24,23,25,24,14,14,26,24,19,9,14,21,21,13,18,20,23,20,19,28,15,19,26,17,24,24,24,25,28,25,20,20,19,26,24,25,14,26,20,26,19,21,14,26,26,28,25,27,25,21,21,25,20,26,25,27,22,20,21,23,23,21,19,17,15,18,23,19,14,14,14,14
113,10,20,22,26,13,24,26,8,24,26,24,25,25,27,24,14,14,26,25,19,9,14,22,22,13,18,20,23,20,19,29,15,20,27,18,25,26,24,26,29,25,20,22,19,27,25,27,14,26,20,26,19,21,14,27,26,29,26,27,25,21,21,26,20,26,25,28,23,20,21,24,24,21,19,17,15,18,24,19,14,14,14,14
114,10,22,22,26,13,24,27,8,24,27,24,27,26,28,26,14,14,26,26,19,9,14,23,24,13,18,20,23,20,19,31,15,22,28,19,26,27,24,27,30,26,20,22,19,27,25,27,14,26,20,27,19,21,14,28,26,30,26,27,25,22,22,27,20,27,25,29,24,20,21,25,24,21,19,17,15,19,24,19,16,14,14,14
115,10,22,22,26,13,24,28,9,24,27,24,27,27,28,27,14,14,26,26,19,9,16,23,24,13,18,20,23,20,19,31,15,22,29,20,27,27,25,28,31,28,21,22,21,27,26,28,14,27,20,28,19,21,14,29,26,32,26,27,25,23,24,32,20,29,25,30,25,20,21,25,24,21,19,17,15,20,24,19,16,14,14,15
116,10,22,23,26,13,24,29,10,24,28,25,28,27,30,28,14,14,26,28,19,9,17,25,24,13,18,20,23,21,19,31,15,22,29,21,28,27,26,29,32,29,23,22,21,27,27,30,14,29,20,29,19,21,14,30,26,32,26,28,26,24,25,32,20,29,25,30,25,20,21,25,24,21,19,17,15,20,25,19,16,14,14,16
117,10,22,24,26,13,24,30,10,24,30,27,29,28,31,28,14,14,26,29,19,9,17,26,24,13,16,20,23,22,19,31,15,22,29,21,29,27,27,30,33,29,23,22,21,28,28,30,14,30,20,30,19,21,14,31,28,33,28,29,27,25,25,33,20,29,26,30,25,20,21,25,24,21,20,17,15,20,26,19,16,14,14,16
118,10,22,25,26,13,24,35,10,25,31,28,30,30,32,28,14,14,26,30,19,9,17,27,24,13,16,20,23,23,19,31,14,22,29,21,30,27,27,31,33,29,23,22,21,29,30,30,14,30,20,31,19,21,12,32,29,34,28,30,28,26,25,35,20,29,27,30,25,20,21,25,26,21,21,17,15,20,27,19,16,14,14,16
119,10,22,25,26,13,24,36,10,27,31,28,32,31,32,28,14,14,26,31,19,9,17,27,24,13,16,21,23,25,19,32,13,22,29,21,31,27,27,32,33,29,23,22,21,30,31,30,14,31,20,33,19,18,12,32,29,35,28,31,29,27,25,36,20,29,28,31,25,20,21,25,26,21,21,17,15,20,27,19,16,14,14,17
120,10,22,25,26,13,24,36,10,28,32,28,32,32,34,28,14,14,26,31,19,9,17,27,24,13,16,22,23,26,19,33,13,22,29,21,32,28,27,33,33,29,23,22,21,31,31,30,14,33,20,33,19,17,12,32,29,36,28,32,30,28,25,36,20,31,29,33,25,22,21,27,26,21,21,17,15,20,27,19,18,14,14,18
121,9,23,25,26,13,24,37,10,29,34,28,33,32,35,28,14,14,26,31,19,8,17,27,24,13,16,25,23,26,19,34,13,22,31,21,33,30,29,33,33,30,23,22,21,32,32,31,12,34,20,33,19,17,12,32,29,37,29,33,31,29,25,38,20,32,30,33,25,22,21,27,26,23,21,17,15,20,27,19,18,14,14,18
122,9,25,25,26,13,24,39,10,29,35,28,34,33,35,29,14,14,26,31,19,7,17,27,24,13,16,25,23,26,19,34,13,22,31,21,34,31,29,33,33,31,23,22,21,33,32,32,11,35,20,33,19,17,12,32,29,38,30,34,32,29,25,39,20,32,31,33,25,22,21,27,26,23,21,17,16,20,27,19,18,14,14,18
123,9,26,25,26,13,24,39,10,29,35,29,35,35,36,30,14,14,26,31,19,7,17,27,24,13,16,25,23,26,19,34,13,22,31,21,35,31,29,33,34,32,23,22,21,33,32,33,11,35,20,33,19,17,12,32,30,39,31,35,33,29,25,39,20,34,32,33,25,22,19,27,26,23,21,17,17,20,27,19,18,14,14,18
124,9,27,25,26,13,24,40,10,29,36,30,37,36,38,32,14,14,26,31,19,7,17,27,22,13,15,25,23,26,19,34,13,22,31,21,36,31,29,33,35,33,23,22,21,33,32,34,11,37,20,33,19,17,12,32,31,40,31,36,34,29,25,40,20,35,33,33,25,22,19,27,26,23,21,17,17,20,29,19,18,14,14,18
125,8,27,25,26,13,24,42,10,29,38,31,37,37,39,32,14,14,26,31,19,7,17,27,21,13,14,25,23,26,19,34,13,23,31,21,36,31,29,33,36,33,23,22,21,33,32,35,11,38,20,33,19,17,12,32,32,42,31,37,35,29,26,42,20,36,33,33,25,22,19,27,24,23,21,17,17,20,29,19,18,14,14,19
126,8,27,25,26,13,24,42,10,29,39,31,38,37,39,32,12,14,27,31,19,7,17,27,20,13,14,25,23,26,19,34,13,24,31,21,36,31,29,33,36,33,23,22,21,33,32,36,11,39,20,33,19,17,11,34,33,42,31,38,35,30,27,42,20,37,33,34,25,22,19,27,24,23,21,17,17,20,29,19,18,14,14,20
127,8,27,25,26,13,24,42,10,29,39,31,39,37,39,32,12,14,28,31,19,7,17,27,20,13,14,25,23,26,19,34,13,26,31,21,36,31,31,34,36,33,23,22,21,33,32,37,11,39,20,33,19,17,10,35,33,42,31,39,35,32,28,42,20,37,33,36,25,22,19,27,24,23,21,17,17,20,29,17,19,14,14,20
128,8,27,25,26,13,24,42,10,29,39,31,40,37,39,32,12,14,29,31,19,7,17,28,20,13,14,25,23,26,19,34,13,26,31,23,36,31,31,35,36,33,23,22,21,33,32,37,11,45,20,33,19,17,10,35,33,42,31,40,35,32,29,42,20,37,33,37,25,22,19,27,24,23,22,17,17,20,29,17,20,14,14,20
129,8,27,28,24,13,24,42,10,29,39,31,42,37,39,32,12,14,29,31,19,7,17,30,20,13,13,25,23,26,19,35,13,27,31,24,36,31,31,36,36,34,23,22,22,34,33,37,11,46,20,33,19,17,10,35,33,42,31,41,35,33,29,42,20,37,34,37,25,22,19,27,24,23,23,17,17,21,29,17,20,14,14,20
130,7,27,28,24,13,24,43,10,29,39,32,42,37,40,32,12,14,29,31,19,7,17,31,20,12,13,25,23,26,19,37,12,27,31,24,37,31,31,36,36,36,23,22,23,36,35,37,11,47,20,33,19,17,10,35,33,43,31,41,37,34,29,43,20,38,36,37,25,22,19,27,23,23,23,17,17,22,29,17,20,14,14,20
131,6,27,28,24,13,24,44,10,29,39,34,43,37,41,32,12,14,29,31,19,7,17,31,20,11,13,25,23,26,19,37,11,27,31,24,38,31,31,36,36,36,23,22,23,36,36,37,11,47,20,33,19,17,10,35,33,44,31,41,38,36,29,44,20,39,36,37,25,22,19,27,22,23,23,17,17,22,29,17,20,14,14,21
132,6,27,28,24,13,24,45,10,29,39,35,44,38,42,32,12,13,29,31,19,6,19,31,20,11,13,25,23,26,19,38,11,27,31,24,40,32,31,36,36,36,23,22,23,36,37,37,11,49,20,33,19,17,9,35,33,45,32,41,38,36,29,45,20,40,36,37,26,22,19,27,22,23,23,17,17,22,29,17,20,14,14,22
133,6,27,28,24,13,24,46,10,29,39,35,45,39,43,32,12,12,29,31,19,5,19,31,20,11,13,25,23,26,19,38,11,27,31,24,40,34,31,36,36,36,23,22,23,36,38,37,11,50,20,33,19,17,8,35,33,46,33,41,38,36,29,46,20,41,36,37,28,22,19,27,22,23,23,17,17,22,29,17,21,14,14,22
134,5,27,28,24,13,24,47,10,29,39,35,47,41,43,33,12,12,29,31,19,5,19,31,20,11,13,25,23,26,19,38,11,27,31,24,41,35,31,36,36,36,23,22,23,36,39,38,11,51,20,33,19,16,8,35,33,47,34,42,38,36,29,47,21,42,36,37,28,22,19,27,21,23,23,17,17,22,29,16,22,14,14,22
135,5,27,28,24,13,24,48,10,29,39,35,47,42,43,33,12,12,29,31,19,5,19,31,20,11,13,25,23,26,19,38,11,27,31,24,41,35,31,36,36,36,23,22,23,36,39,39,11,51,20,32,19,6,8,37,33,48,34,43,38,36,29,48,23,43,36,37,28,22,19,27,20,22,23,17,17,22,29,15,22,14,14,22
136,5,27,28,24,13,24,48,10,29,39,35,48,42,43,35,12,12,29,31,19,5,19,32,20,11,12,25,23,26,19,38,11,27,31,24,41,35,31,36,36,37,23,22,23,36,41,40,11,51,20,31,19,5,8,38,33,49,34,45,39,36,29,49,23,43,37,37,28,22,19,27,20,21,23,17,17,22,29,15,22,14,14,22
137,5,27,28,24,13,24,48,10,29,39,35,48,42,43,36,12,12,29,31,19,5,19,34,20,11,11,25,23,26,19,38,11,27,31,24,41,35,31,36,36,39,23,22,23,36,42,40,11,51,20,31,19,4,8,38,33,50,34,45,41,37,29,50,23,43,39,38,28,22,19,27,20,21,23,17,17,22,29,15,22,14,14,23
138,4,27,28,24,13,24,48,10,29,39,35,48,42,44,37,12,12,29,31,19,5,19,35,20,11,11,25,23,26,19,38,10,27,31,24,41,35,31,36,36,40,23,22,23,36,43,40,11,51,20,31,19,4,8,38,33,51,34,45,41,38,29,52,23,43,40,39,28,22,17,27,19,21,23,17,17,22,29,15,22,14,14,24
139,4,27,28,24,13,24,49,10,29,39,35,48,42,45,37,11,12,29,31,19,5,19,35,20,11,11,25,23,26,18,38,9,27,31,24,41,35,31,36,36,40,23,22,23,36,44,40,11,51,20,30,19,4,8,38,33,52,34,45,41,40,29,52,23,44,40,41,28,22,17,27,18,21,24,17,17,22,29,15,23,14,14,24
140,3,27,28,24,13,24,50,10,29,40,35,48,42,46,37,10,12,29,31,19,5,19,35,20,11,11,25,23,27,17,38,9,27,31,24,42,35,31,36,36,40,23,22,23,36,45,41,11,53,20,29,19,4,7,38,33,52,34,45,41,40,29,52,23,45,40,41,28,22,17,27,18,21,24,17,17,22,29,14,24,14,14,24
141,3,27,28,24,13,24,51,10,29,43,36,48,42,47,37,9,12,29,31,19,5,19,35,19,11,11,25,23,28,17,38,9,27,31,25,44,35,31,36,36,40,23,22,23,36,45,42,11,54,20,28,19,4,6,38,36,52,34,45,41,40,29,52,23,46,40,41,28,22,17,27,18,21,24,17,17,22,29,13,24,14,14,24
142,3,27,28,24,13,21,52,10,29,43,38,49,43,47,37,9,12,29,31,19,5,19,35,18,11,9,25,23,32,17,38,9,27,31,26,45,35,31,36,36,40,23,22,23,36,45,43,11,55,20,28,19,4,6,38,36,52,34,46,42,40,29,52,23,47,40,41,28,22,17,27,17,21,24,18,17,22,29,13,24,14,14,24
143,3,27,28,24,13,20,52,10,29,43,38,50,44,47,37,9,12,29,31,19,4,19,35,17,11,9,25,24,32,17,38,9,27,31,27,45,35,31,36,36,40,26,22,23,36,45,43,11,55,20,28,19,3,6,38,36,53,34,48,43,40,29,53,23,48,40,41,28,22,17,27,16,21,24,18,17,22,29,13,24,14,14,25
144,2,27,28,24,13,20,52,10,29,43,38,52,46,47,37,9,12,29,31,19,2,19,35,17,11,9,21,25,32,17,38,9,27,31,28,46,36,31,36,36,40,26,22,23,36,45,43,11,57,20,27,19,1,6,39,36,54,34,49,44,40,29,54,23,49,40,41,28,22,17,27,16,21,24,18,17,23,29,13,24,14,14,26
145,2,27,28,24,13,20,52,10,29,43,38,52,47,47,37,9,12,29,31,19,2,19,35,17,11,9,21,29,32,17,38,9,27,31,28,47,38,31,36,36,40,26,22,21,36,45,43,11,58,20,26,19,0,6,41,36,55,34,49,44,41,30,55,23,50,40,41,28,22,17,27,16,21,24,18,17,23,29,13,24,14,14,26
146,2,27,28,24,14,20,53,10,29,43,38,53,47,47,37,9,12,29,31,19,2,19,35,17,11,9,20,29,32,17,38,8,27,31,28,49,39,31,36,36,40,26,22,21,36,45,43,11,59,20,26,19,0,6,41,36,55,36,50,44,42,31,55,23,51,40,39,28,22,17,27,16,21,24,18,17,23,29,13,24,14,14,26
147,2,27,28,24,14,20,54,10,29,43,39,54,47,47,37,9,12,30,31,19,2,20,35,17,11,8,20,29,32,17,38,7,27,31,28,50,39,31,36,36,41,26,22,21,36,45,43,11,59,20,26,19,0,6,41,36,55,36,52,44,44,32,55,23,51,41,38,28,22,17,27,14,21,24,18,17,23,29,13,25,14,14,26
148,1,28,28,24,14,20,55,10,29,43,40,55,47,47,37,9,12,30,31,19,2,20,36,17,11,7,20,29,32,17,38,7,28,31,28,50,39,31,36,36,43,26,22,21,36,46,43,11,61,20,26,19,0,6,41,36,55,36,53,45,44,33,55,23,51,43,37,28,22,17,27,13,21,24,18,17,23,29,12,26,14,14,26
149,0,31,28,24,14,20,55,10,29,43,41,57,47,47,37,9,12,33,31,19,2,22,39,17,11,7,20,29,32,17,38,7,31,31,28,50,39,31,37,36,43,26,22,21,36,47,43,11,62,20,24,19,0,4,41,36,55,36,53,46,44,33,56,23,51,43,37,28,22,17,27,12,21,24,18,17,23,28,11,26,14,14,27
150,0,31,28,24,14,20,55,10,29,43,42,57,47,49,37,7,12,33,31,19,2,22,39,17,11,7,20,29,32,16,38,7,31,31,28,50,39,31,39,36,44,26,22,21,36,51,43,11,63,20,24,19,0,4,41,36,57,36,53,47,44,33,57,23,52,44,37,28,22,17,27,12,21,24,18,17,23,27,11,26,14,14,28
151,0,31,28,24,14,20,55,10,29,43,42,58,47,50,37,7,12,33,31,19,2,22,39,17,11,7,20,29,32,15,38,7,31,31,28,50,39,31,39,36,44,26,22,21,36,51,43,11,63,20,24,19,0,4,41,36,58,36,53,48,44,33,58,23,54,44,37,28,22,17,27,12,21,25,18,17,23,27,11,26,14,14,28
152,-1,31,28,24,14,20,55,10,29,43,42,59,47,50,37,7,12,33,31,19,2,22,39,17,11,7,20,29,32,15,38,7,31,31,28,50,39,29,39,36,44,26,22,21,36,51,43,11,65,20,24,19,0,4,41,36,58,36,53,48,44,33,58,23,54,44,37,28,22,17,27,12,21,26,18,17,23,27,11,26,14,14,28
153,-1,31,28,23,14,20,55,10,29,43,42,60,47,50,37,7,12,33,31,19,2,22,39,17,11,7,20,29,32,15,41,7,31,31,28,50,39,29,39,36,44,26,22,21,36,51,45,11,66,20,23,19,0,4,41,36,59,36,53,48,45,33,58,23,56,44,37,28,22,17,27,10,21,26,18,17,23,27,11,27,14,14,28
154,-1,31,28,21,14,20,55,10,29,43,42,62,47,50,37,7,12,33,31,19,1,22,39,17,11,7,20,29,32,15,41,6,31,31,28,50,39,29,39,36,44,26,22,21,36,51,46,11,67,20,22,19,0,4,41,36,61,36,55,48,47,33,58,23,57,44,37,28,22,17,27,9,21,26,18,17,23,27,11,28,14,14,28
155,-1,31,28,21,14,20,55,10,29,43,43,62,47,50,37,7,12,33,31,19,0,22,39,17,11,7,20,29,32,15,41,5,31,31,28,50,39,29,39,36,46,26,22,21,36,51,46,11,67,20,21,19,0,4,41,34,62,36,56,48,48,33,59,23,57,46,37,28,22,17,27,9,21,26,18,17,23,27,11,28,14,14,29
156,-1,31,28,21,14,20,57,10,29,43,45,63,47,50,37,7,12,33,31,19,0,22,39,17,11,6,20,29,32,15,41,5,31,31,31,50,39,29,39,36,47,26,22,21,36,51,46,11,67,20,21,19,0,4,42,33,62,36,56,50,48,33,59,23,57,47,37,28,22,17,27,9,21,26,18,17,24,27,10,28,14,14,30
157,-1,31,28,21,14,20,58,10,30,43,45,63,48,50,37,7,12,33,31,19,0,22,39,17,11,5,20,29,32,15,41,5,31,31,31,50,39,29,39,36,47,26,22,21,36,51,46,11,67,20,21,19,0,3,44,33,62,36,56,51,48,33,61,23,57,47,36,28,22,17,27,9,21,26,18,17,25,27,9,28,14,14,30
158,-2,31,28,21,14,20,58,10,31,43,45,63,49,50,37,7,12,33,31,19,0,22,39,16,11,5,20,29,32,15,41,5,31,31,31,50,39,29,39,36,47,26,22,21,36,51,46,11,67,20,21,19,0,2,44,33,62,36,56,51,48,33,62,23,57,47,34,28,22,17,25,7,21,26,18,17,25,26,9,28,14,14,30
159,-2,31,28,21,15,20,58,10,34,43,45,63,52,50,37,5,12,33,31,19,0,22,39,15,11,5,20,29,32,15,41,5,31,31,31,51,39,29,39,36,47,26,22,21,36,51,46,11,67,20,21,19,0,2,44,33,62,36,56,51,48,33,62,23,59,47,33,28,22,17,25,7,22,26,18,17,25,25,9,29,14,14,30
160,-2,31,28,21,16,20,58,10,34,43,45,63,52,50,37,5,12,33,31,19,0,22,39,14,11,5,20,29,32,15,41,5,31,31,31,55,39,29,39,36,47,26,22,21,36,51,46,11,68,20,21,19,0,2,44,33,64,36,57,51,48,33,62,23,60,47,33,28,22,17,25,7,23,26,18,17,25,24,9,30,14,14,30
161,-2,31,28,21,16,20,58,10,34,43,46,63,52,50,38,5,12,33,32,19,0,22,39,13,11,5,20,29,32,14,41,5,31,31,31,55,39,29,39,36,47,26,22,21,36,51,46,11,71,20,21,19,0,2,44,33,65,37,58,51,49,33,62,23,61,47,33,28,22,17,25,7,23,26,18,17,25,24,9,30,14,14,31
162,-2,31,28,21,16,19,58,10,34,43,47,64,52,50,41,5,12,33,33,19,0,23,39,13,11,5,20,29,32,13,41,5,31,31,31,55,39,29,39,36,47,26,22,21,36,51,47,11,71,20,21,19,0,2,44,33,65,39,60,51,52,33,62,23,62,47,33,28,22,17,25,5,23,26,20,17,25,24,9,30,14,14,32
163,-2,31,28,21,16,18,58,10,34,43,49,65,52,50,41,5,12,33,37,19,0,25,39,13,11,5,20,29,32,13,41,5,31,31,31,55,39,29,39,36,47,26,22,21,36,51,49,11,71,20,21,19,0,2,44,33,65,39,60,51,52,33,63,23,62,47,33,29,22,17,25,5,23,26,20,17,25,24,9,30,14,14,32
164,-2,31,28,21,16,17,58,10,34,43,49,68,52,51,41,5,12,33,37,19,0,25,39,13,11,5,20,29,32,13,41,4,31,31,31,55,40,29,39,36,47,26,22,21,36,51,49,11,71,18,21,19,0,2,44,33,65,39,60,51,52,33,65,23,62,47,33,31,22,17,25,5,23,27,20,17,25,24,9,30,14,14,32
165,-2,31,28,21,16,17,59,10,34,43,49,68,52,54,41,5,12,33,37,19,0,25,39,13,11,5,20,29,32,13,41,3,31,31,31,55,43,29,39,36,48,26,22,21,36,51,49,11,71,17,21,19,0,2,44,33,65,39,60,52,52,34,65,23,62,48,33,31,22,17,25,5,23,28,20,17,26,23,9,32,14,14,32
166,-3,31,28,21,16,17,61,10,34,43,49,68,52,54,41,5,12,33,37,19,0,25,39,13,11,5,20,29,32,13,41,3,31,31,31,55,43,29,39,36,51,26,22,21,36,51,49,11,71,17,21,19,0,2,44,33,66,39,60,54,52,37,65,23,63,51,33,31,22,17,25,4,23,28,20,17,27,22,9,32,14,14,32
167,-3,31,28,21,16,17,61,10,34,43,49,68,52,54,41,5,12,33,37,19,0,25,39,13,11,5,20,29,32,13,41,3,31,31,31,55,43,29,39,36,51,26,22,21,36,51,49,11,71,17,21,19,0,1,44,33,68,39,60,54,52,37,65,23,65,51,33,31,22,17,25,3,23,28,20,17,27,22,9,32,14,15,34
